Change Order | 89480 | - | RT-50003308 | IT-50017116 | Approve | doug.hewitt | Accept - Change Owner
Change Order | 89480 | - | RT-50003308 | IT-50017114 | Approve | doug.hewitt | Accept - Buyer (807208)
Change Order | 89480 | - | RT-50003308 | IT-50017115 | Approve | doug.hewitt | Accept - Buyer (133786)
Change Order | 89480 | - | RT-50003308 | IT-50017120 | Approve | doug.hewitt | Implement - Product SME / DHF Implementer
Change Order | 89480 | - | RT-50003308 | IT-50017119 |  | doug.hewitt | Implement - Change Owner
Change Order | 89480 | - | RT-50003308 | IT-50017118 | Approve | doug.hewitt | Implement - Buyer (133786)
Change Order | 89480 | - | RT-50003308 | IT-50017121 |  | doug.hewitt | Implement - Configuration Manager
Change Order | 89480 | - | RT-50003308 | IT-50017117 | Approve | doug.hewitt | Implement - Buyer (807208)
Change Order | 89480 | - | RT-50003307 | IT-50017112 | Approve | doug.hewitt | Approved - Regulatory
Change Order | 89480 | - | RT-50003307 | IT-50017110 | Approve | doug.hewitt | Approved - Originator
Change Order | 89480 | - | RT-50003307 | IT-50017111 | Approve | doug.hewitt | Approved - SQE
Change Order | 89480 | - | RT-50003307 | IT-50017113 | Approve | doug.hewitt | Approved - Configuration Manager
Change Order | 91731 | - | RT-20012532 | IT-20059297 | Approve | jennifer.butler | Approved - Training
Change Order | 91731 | - | RT-20012532 | IT-20059296 | Approve | jennifer.butler | Approved - Originator
Change Order | 91731 | - | RT-20012532 | IT-20059298 | Approve | jennifer.butler | Approved - Regulatory
Change Order | 91731 | - | RT-20012532 | IT-20059299 | Approve | jennifer.butler | Approved - Configuration Manager
Change Order | 91731 | - | RT-20012533 | IT-20059301 | Approve | jennifer.butler | Accept - Update TLC Effective Date / TLC System Administrator
Change Order | 91731 | - | RT-20012533 | IT-20059302 | Approve | jennifer.butler | Accept - Planned
Change Order | 91731 | - | RT-20012533 | IT-20059300 |  | jennifer.butler | Accept - Change Owner
Change Order | 91444 | - | RT-60005821 | IT-60031506 | Approve | janie.eskuri | Implement - Project Mgr
Change Order | 91444 | - | RT-60005821 | IT-60031501 | Approve | janie.eskuri | Accept - Change Owner
Change Order | 91444 | - | RT-60005821 | IT-60031502 |  | janie.eskuri | Implement - Change Owner
Change Order | 91444 | - | RT-60005821 | IT-60031503 | Approve | janie.eskuri | Implement - Subject Matter Expert
Change Order | 91444 | - | RT-60005821 | IT-60031504 |  | janie.eskuri | Implement - Configuration Mgr
Change Order | 91444 | - | RT-60005821 | IT-60031505 | Approve | janie.eskuri | Implement - Subject Matter Expert
Change Order | 91444 | - | RT-60005820 | IT-60031500 | Approve | janie.eskuri | Approved - Configuration Mgr
Change Order | 91444 | - | RT-60005820 | IT-60031498 | Approve | janie.eskuri | Approved - Regulatory
Change Order | 91444 | - | RT-60005820 | IT-60031499 | Approve | janie.eskuri | Approved - Originator
Change Order | 91596 | - | RT-60004541 | IT-60024230 | Approve | jennifer.butler | Approved - Originator
Change Order | 91596 | - | RT-60004541 | IT-60024229 | Approve | jennifer.butler | Approved - Configuration Manager
Change Order | 91596 | - | RT-60004541 | IT-60024228 | Approve | jennifer.butler | Approved - Training
Change Order | 91596 | - | RT-60004541 | IT-60024227 | Approve | jennifer.butler | Approved - Reagulatory
Change Order | 91596 | - | RT-60004542 | IT-60024235 | Approve | jennifer.butler | Accept - Planned
Change Order | 91596 | - | RT-60004542 | IT-60024233 | Approve | jennifer.butler | Accept - Planned
Change Order | 91596 | - | RT-60004542 | IT-60024232 |  | jennifer.butler | Accept - Change Owner
Change Order | 91596 | - | RT-60004542 | IT-60024231 | Approve | jennifer.butler | Accept - CDI Supervisor
Change Order | 91596 | - | RT-60004542 | IT-60024234 | Approve | jennifer.butler | Accept - Update TLC Effective Date / TLC System Admin.
Change Order | 90974 | - | RT-60004538 | IT-60024203 | Approve | jennifer.butler | Approved - Regulatory
Change Order | 90974 | - | RT-60004538 | IT-60024202 | Approve | jennifer.butler | Approved - Training
Change Order | 90974 | - | RT-60004538 | IT-60024205 | Approve | jennifer.butler | Approved - Originator
Change Order | 90974 | - | RT-60004538 | IT-60024204 | Approve | jennifer.butler | Approved - Configuration Mgr
Change Order | 90974 | - | RT-60004539 | IT-60024206 | Approve | jennifer.butler | Accept - Change Owner
Change Order | 90974 | - | RT-60004539 | IT-60024207 | Approve | jennifer.butler | Accept - Planned
